COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
A202A,Participación del consumo intermedio en la producción bruta total: Porcentaje de la contribución de los insumos utilizados para generar bienes y servicios en el valor de la producción bruta total. Resulta de dividir el consumo intermedio entre la producción bruta total._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A204A,Valor agregado en promedio por persona ocupada: Valor adicional que en promedio generó cada persona ocupada a la producción._ durante cada etapa del proceso de trabajo. Resulta de dividir el valor agregado entre el personal ocupado total.,Decimal,15._3,0-999999999999999.999
A206A,Producción bruta total por personal ocupado total: Valor de todos los bienes y servicios producidos o comercializados por la unidad económica como resultado del ejercicio de sus actividades._ comprendiendo el valor de los productos elaborados; el margen bruto de comercialización; las obras ejecutadas; los ingresos por la prestación de servicios._ así como el alquiler de maquinaria y equipo._ y otros bienes muebles e inmuebles; el valor de los activos fijos producidos para uso propio._ entre otros._ entre el personal ocupado total.,Decimal,15._3,0-999999999999999.999
A208A,Participación de materias primas._ materiales y suministros en los gastos por consumo de bienes y servicios: Porcentaje de los productos y materiales._ de cualquier especie._ que fueron consumidos por la unidad económica._ para proporcionar el servicio que constituye su actividad normal._ en el total de sus gastos realizados en 2018. Resulta de dividir los gastos que la empresa realizó por concepto de materias primas._ materiales y suministros._ entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100. ,Decimal,15._3,0-999999999999999.999
A209A,Participación de maquila y contratación de servicios en los gastos por consumo de bienes y servicios: Porcentaje de los gastos efectuados por la unidad económica por los servicios industriales que recibió de otra razón social por la transformación parcial o total de sus materias primas._ el ensamble._ armado o la adición._ complementación o modificación de un componente a un producto previamente manufacturado._ en el total de los gastos que tuvo la unidad económica en 2018. Resulta de dividir los gastos por maquila y contratación de servicios realizados por la empresa._ entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A212A,Participación del consumo de agua y energéticos en los gastos por consumo de bienes y servicios: Porcentaje del gasto por consumo de agua suministrada por la red municipal o por pipas._ para el consumo humano o empleada en el proceso productivo._ así como del consumo de combustibles._ lubricantes y otras fuentes de energía._ en el total de los gastos que tuvo la unidad económica en 2018. Resulta de dividir el gasto por consumo de agua._ combustibles._ lubricantes y energéticos._ entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A213A,Inversión total a ingresos totales: Porcentaje del incremento en activos._ insumos y productos que experimentaron las unidades económicas durante el año de referencia._ respecto de los ingresos totales. Resulta de dividir la inversión total entre el total de los ingresos por suministro de bienes y servicios de la empresa._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A214A,Participación de gastos por consumo de otros bienes y servicios en los gastos por consumo de bienes y servicios: Porcentaje de los gastos que no constituyen la actividad primordial de la empresa._ en el total de los gastos que tuvo la unidad económica en 2018. Resulta de dividir los gastos por publicidad._ reparaciones y refacciones para mantenimiento corriente._ renta y alquiler de bienes muebles e inmuebles._ servicios de comunicación._ y otros gastos por consumo de otros bienes y servicios._ entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A215A,Inversión total a activos fijos: Porcentaje del incremento en activos._ insumos y productos que experimentaron las unidades económicas durante el año de referencia._ respecto de los activos fijos totales. Resulta de dividir la inversión total entre el total de activos fijos de la empresa._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A216A,Participación de los ingresos por la venta de mercancías en el total de ingresos por suministro de bienes y servicios: Porcentaje del ingreso por la venta que obtuvo la unidad económica por la compra-venta de mercancías en el mismo estado en que las recibió._en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el total de los ingresos por la reventa de mercancías y bienes._ entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A217A,Inversión total a valor agregado censal bruto: Porcentaje del incremento en activos._ insumos y productos que experimentaron las unidades económicas durante el año de referencia._ respecto del valor agregado. Resulta de dividir la inversión total entre el valor agregado censal bruto de la empresa._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A218A,Participación de la prestación de servicios profesionales._ científicos y técnicos en el total de ingresos por suministro de bienes y servicios: Porcentaje de los ingresos a valor de venta que obtuvo la unidad económica por la prestación de servicios profesionales._ científicos y técnicos a terceros._ en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el total de los ingresos por la prestación de servicios profesionales._ científicos y técnicos._ entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A219A,Participación de otros ingresos por suministro de bienes y servicios en el total de ingresos por suministro de bienes y servicios: Porcentaje del ingreso que obtuvo la unidad económica por conceptos no especificados anteriormente._ en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el total de otros ingresos por suministro de bienes y servicios._ entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A222A,Inversión total a producción bruta total: Porcentaje del incremento en activos._ insumos y productos que experimentaron las unidades económicas durante el año de referencia._ respecto de la producción bruta total. Resulta de dividir la inversión total entre la producción bruta total de la empresa._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A223A,Participación de la venta de productos elaborados._ generados o extraidos en el total de ingresos por suministro de bienes y servicios: Porcentaje del ingreso por la venta de productos elaborados._ generados o extraídos durante 2018 o en periodos anteriores._ en el total de los ingresos que tuvo la unidad económica. Resulta de dividir el total de los ingresos por la venta de productos elaborados._ generados o extraídos._ entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A224A,Participación de los ingresos por alquiler de bienes muebles e inmuebles en el total de ingresos por suministro de bienes y servicios: Porcentaje del ingreso a valor de venta que obtuvo la unidad económica por la cesión temporal a otra razón social del derecho de uso o disfrute de los bienes muebles e inmuebles de su propiedad._ en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el total de los ingresos por alquiler de bienes muebles e inmuebles entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A225A,Participación de los ingresos por maquilar o transformar materias primas propiedad de terceros en el total de ingresos por suministro de bienes y servicios: Porcentaje del ingreso obtenido por la unidad económica por la fabricación._ ensamble u otro tipo de transformación de las materias primas propiedad de terceros._ en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el total de ingresos por maquila entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A226A,Participación de la  maquinaria y equipo de producción en el total de activos fijos: Porcentaje del valor actualizado o a costo de reposición de la maquinaria y el equipo mecánico._ eléctrico._ computarizado o la combinación de estos._ propiedad de la unidad económica._ vinculado directamente con sus procesos de producción._ comercialización o prestación de servicios y tareas auxiliares._ respecto de los activos fijos totales. Resulta de dividir el valor del acervo total de maquinaria y equipo de producción entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A227A,Participación de las construcciones e instalaciones fijas en el total de activos fijos: Porcentaje del valor actualizado a costo de reposición de los edificios._ locales y construcciones e instalaciones propiedad de la unidad económica._ que utilizó para el desarrollo de sus actividades._ respecto de los activos fijos totales. Resulta de dividir el valor del acervo total de bienes inmuebles entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A228A,Participación del equipo de transporte en el total de activos fijos: Porcentaje del valor actualizado a costo de reposición del equipo de transporte (vehículos automotores._ aviones._ barcos._ etcétera) propiedad de la unidad económica._ que utilizó para transportar personas o carga fuera de la misma._ respecto de los activos fijos totales. Resulta de dividir el valor del acervo total de unidades y equipo de transporte entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A229A,Participación del equipo de cómputo y periféricos en el total de activos fijos: Porcentaje del valor actualizado a costo de reposición del equipo de cómputo y sus periféricos._ propiedad de la unidad económica._ que no estaban integrados a la maquinaria y equipo de producción._ como son las computadoras._ redes de comunicación._ impresoras._ digitalizadores._ entre otros._ lo cual excluye el software._ respecto de los activos fijos totales. Resulta de dividir el valor del equipo de cómputo y periféricos entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A231A,Margen bruto de operación: Porcentaje de rentabilidad con respecto a los ingresos totales obtenidos por la unidad económica. Resulta de dividir los ingresos por suministro de bienes y servicios._ entre la suma de las remuneraciones y los gastos de operación por el consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A235A,Ingreso principal a ingresos por suministro de bienes y servicios : Porcentaje del ingreso principal en el total de los ingresos que tuvo la unidad económica en 2018. Resulta de dividir el ingreso principal que realiza la empresa para llevar a cabo su actividad primordial._ entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A236A,Gasto principal a gastos por consumo de bienes y servicios : Porcentaje del gasto principal en el total de los gastos que tuvo la unidad económica en 2018. Resulta de dividir el gasto principal que realiza la empresa para llevar a cabo su actividad primordial._ entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A237A,Gasto principal a ingreso principal: Participación que tiene el gasto principal dentro del ingreso principal._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A238A,Participación del mobiliario._ equipo de oficina y otros activos fijos en el total de activos fijos: Porcentaje del valor actualizado a costo de reposición del mobiliario._ equipo de oficina y otros bienes de capital._ propiedad de la unidad económica._ respecto de los activos fijos totales. Resulta de dividir el valor del mobiliario._ equipo de oficina y otros activos fijos._ al día 31 de diciembre de 2018._ entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A242A,Valor de activos fijos por persona ocupada : Valor promedio de todos aquellos bienes._ propiedad de la unidad económica –cuya vida útil es superior a un año– que tienen la capacidad de producir o proporcionar las condiciones necesarias para la generación de bienes y servicios._ con respecto al número de personas ocupadas. Resulta de dividir el valor total de los activos fijos a costo de reposición entre el personal ocupado total._ durante el periodo censal.,Decimal,15._3,0-999999999999999.999
A243A,Maquinaria y equipo de producción a producción bruta total : Valor actualizado a costo de reposición de la maquinaria y el equipo mecánico._ eléctrico._ computarizado o de otro tipo._ propiedad de la empresa._ vinculado directamente con sus procesos de producción y tareas auxiliares._ respecto del valor de todos los bienes y servicios producidos o comercializados por la unidad económica como resultado del ejercicio de sus actividades. Resulta de dividir la maquinaria y equipo de producción entre la producción bruta total.,Decimal,15._3,0-999999999999999.999
A244A,Activos fijos a producción bruta total : Porcentaje del valor actualizado de todos aquellos bienes._ propiedad de la unidad económica._ que tienen la capacidad de producir o proporcionar las condiciones necesarias para la generación de bienes y servicios._ respecto del valor de todos los bienes y servicios producidos o comercializados por la unidad económica como resultado del ejercicio de sus actividades._ comprendiendo el valor de los productos elaborados; el margen bruto de comercialización; las obras ejecutadas; los ingresos por la prestación de servicios._ así como el alquiler de maquinaria y equipo._ y otros bienes muebles e inmuebles; el valor de los activos fijos producidos para uso propio._ entre otros.,Decimal,15._3,0-999999999999999.999
A245A,Formación bruta de capital fijo a acervo de capital : Porcentaje del valor de los activos fijos comprados por la unidad económica (hayan sido nacionales o importados._ nuevos o usados)._ menos el valor de las ventas de activos fijos realizadas._ respecto del acervo de capital. Resulta de dividir el dato correspondiente a la resta de la adquisición de activos fijos menos las ventas de activos fijos._ entre el total de activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A247A,Producción de activos fijos para uso propio a compras de activos fijos: Participación de la producción de los bienes muebles e inmuebles o las mejoras que aumentan su productividad o vida útil._ siempre que hayan sido realizadas por la empresa con recursos y personal propios._ utilizados por la misma empresa._ valorados de acuerdo con la cantidad de materiales y mano de obra._ respecto al monto de las adquisiciones y transferencias recibidas de activos fijos (nuevos o usados) a valor actual. Resulta de dividir los activos fijos producidos para uso propio entre el total de la adquisición de activos fijos y reformas mayores realizadas del 1 de enero al 31 de diciembre de 2018._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A248A,Otros ingresos por suministro de bienes y servicios a total de ingresos por suministro de bienes y servicios: Participación de otros ingresos por suministro de bienes y servicios dentro de los ingresos por suministro de bienes y servicios. Resulta de dividir el total de los otros ingresos por suministro de bienes y servicios entre el total de los ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A252A,Gastos no derivados de la actividad a Gastos por consumo de bienes y servicios: Participación que tiene los gastos no derivados de la actividad dentro del total de gastos por consumo de bienes y servicios. Resulta de dividir el total de gastos fiscales._ financieros y donaciones entre el total de gastos por consumo de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A253A,Ingresos no derivados de la actividad a Ingresos por suministro de bienes y servicios: Participación de los ingresos no derivados de la actividad._ tales como ingresos financieros; ganancias por cambios de valor de la moneda en transacciones realizadas; revaloración de activos bursátiles; subsidios a la producción y a los productos._ cuotas y aportaciones y otros ingresos no derivados de la actividad._ dentro del total de ingresos por suministro de bienes y servicios. Resulta de dividir el total de los ingresos no derivados de la actividad entre el total de ingresos por suministro de bienes y servicios._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A256A,Valor promedio de la maquinaria y equipo por persona ocupada anuales: Valor promedio de la  maquinaria y equipo propiedad de la unidad económica vinculado directamente con los procesos de producción._ con respecto al número de personas ocupadas. Resulta de dividir el valor total de la maquinaria y equipo a costo de reposición._ entre el personal ocupado total._ durante el periodo censal.,Decimal,15._3,0-999999999999999.999
A433A,Ingreso Principal respecto al gasto principal: Porcentaje del ingreso principal de la unidad económica en su gasto principal._ durante el periodo de referencia._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A434A,Porcentaje del Ingreso principal a total de ingresos por la actividad y los financieros: Porcentaje del ingreso principal respecto del total de ingresos derivados de la actividad y de los financieros. Resulta de dividir el ingreso principal entre la suma del total de los ingresos por suministro de bienes y servicios más el total de los ingresos financieros._ subsidios y donaciones._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A436A,Ingresos por suministro de bienes y servicios por persona ocupada: Monto de ingresos que obtuvo la unidad económica por la realización de actividades de producción de bienes._ comercialización de mercancías y prestación de servicios en promedio por persona ocupada. Resulta de dividir el total de ingresos por suministro de bienes y servicios entre el personal ocupado total._ multiplicado por 1000.,Decimal,15._3,0-999999999999999.999
A529A,Participación de la depreciación en el valor de los activos fijos: Porcentaje del consumo de capital fijo por el desgaste que sufre en el proceso de producción el conjunto de activos fijos propios de la unidad económica. Resulta de dividir la depreciación entre el valor total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A534A,Tasa de rentabilidad promedio: Capacidad de producir o generar un beneficio adicional (utilidad o ganancia) sobre la inversión o esfuerzo realizado. Resulta de dividir  los ingresos por suministro  de bienes y servicios entre la suma de los gastos por consumo de bienes y servicios más las remuneraciones menos 1._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A747A,Salario promedio diarios por persona operativa: Salarios al personal de producción._ ventas y servicios por persona ocupada en la producción._ ventas y servicios._ durante el periodo censal. Resulta de dividir el total de salarios al personal de producción._ ventas y servicios entre el personal de producción._ ventas y servicios._ multiplicado por 1000 y dividido en el total de días trabajados.,Decimal,15._3,0-999999999999999.999
A748A,Sueldo promedio diario por persona administrativa: Sueldos al personal administrativo._ contable y de dirección por persona ocupada en el personal administrativo._ contable y de dirección._ multiplicado por 1000 y dividido en el total de días trabajados._ durante el periodo censal. ,Decimal,15._3,0-999999999999999.999
A752A,Valor agregado a total de activos fijos: Porcentaje del valor de la producción que se añade durante el proceso de trabajo por la actividad creadora y de transformación realizada por el personal ocupado._ el capital y la organización (factores de la producción)._ ejercida sobre los materiales que se consumen en la realización de la actividad económica._ respecto de los activos fijos totales. Resulta de dividir el total de los componentes relacionados con el valor agregado entre el total de los activos fijos._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
A764A,Participación de las mujeres en el personal ocupado total : Mujeres que trabajaron durante el periodo de referencia dependiendo contractualmente o no de la unidad económica._ sujetas a su dirección y control._ al personal ocupado total. Resulta de sumar el total de mujeres que dependieron de la razón social más aquéllas que no dependieron de la razón social._ entre el personal ocupado total de la empresa._ multiplicado por 100.,Decimal,15._3,0-999999999999999.999
